"date","hour","text","source","username","hashtags"	
"2019-06-24","12:17:02","Hoje com 12 anos, Ronei foi abandonado pelos pais biológicos antes de completar um ano em decorrência dos problemas… https://t.co/Grm9b90SwJ","SocialFlow","bbcbrasil",""	
"2019-06-24","12:13:12","Com máscaras, golpistas se passaram pelo ministro de Relações Exteriores da França e conseguiram roubar US$ 90 milh… https://t.co/O4LFXJf4Jz","SocialFlow","bbcbrasil",""	
"2019-06-24","11:51:07","Documento oficial da igreja revela possibilidade clara de que homens casados ""de caráter comprovado"" sejam, em brev… https://t.co/X61RkRlT7e","SocialFlow","bbcbrasil",""	
"2019-06-24","11:37:18","A atriz da série 'Smallville', Allison Mack, participou do sistema de 'escravo e mestre' da seita sexual Nxivm. O l… https://t.co/soYgxCJmuH","SocialFlow","bbcbrasil",""	
"2019-06-24","11:15:53","#MaisLidas Brasil perde mais de R$ 30 bi por ano por ineficiência em educação, diz ex-cotado ao MEC Mozart Neves Ra… https://t.co/seIkyBdtCX","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","10:54:44","#MaisLidas Autora de 'Monólogos da Vagina' fala sobre abusos pelo pai: 'Uma noite fingi que estava morta, e aí acab… https://t.co/a9xRzUT0UU","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","10:33:09","O que acontece quando a comida some das prateleiras https://t.co/XshqGtLOCR","SocialFlow","bbcbrasil",""	
"2019-06-24","9:18:41","E. Jean Carroll, a colunista americana que acusa Trump de tê-la estuprado na década de 1990 https://t.co/P5AVV8MjaC","SocialFlow","bbcbrasil",""	
"2019-06-24","8:56:37","#ArquivoBBC As simples formas de ativar os efeitos dos hormônios da felicidade https://t.co/0H6TCijho9 https://t.co/29OUJXMwMe","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","8:24:06","#ArquivoBBC Três razões pelas quais ser impaciente pode ser prejudicial à saúde https://t.co/vNumblLiYj https://t.co/V39QBesT3F","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","8:08:49","Alergias alimentares: a vida de quem não pode comer ‘quase nada’ https://t.co/z5OSX9cJlh #ArquivoBBC https://t.co/Ly5iFkQl5F","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","7:47:35","#MaisLidas Como 'ensinar' seu corpo a acordar cedo, segundo cientistas https://t.co/cmfVVp6evW https://t.co/3M7bZZGUmi","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","7:27:08","Qualquer cochilo de Lucy Taylor pode se transformar em mais de 24 horas seguidas de sono. Ela descreve como é sofre… https://t.co/zIWPqBvFsn","SocialFlow","bbcbrasil",""	
"2019-06-24","6:53:33","#MaisLidas Diretor do Instituto Ayrton Senna, Mozart Neves Ramos chegou a ser convidado para ser ministro de Bolson… https://t.co/LI3Bd56A1g","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","6:32:12","Por que o Brasil mudou para sempre após participação simbólica na 1ª Guerra Mundial	
 https://t.co/5VkgwJqfu2","SocialFlow","bbcbrasil",""	
"2019-06-24","5:38:46","#MaisLidas Famosa por sua peça 'Monólogos da Vagina', Eve Ensler lança livro em que revela que sofreu abusos sexuai… https://t.co/EAw1XHwf6F","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","5:04:41","Cientista e mulher na Amazônia: o que contam pesquisadoras brasileiras que trabalham na região https://t.co/RGe0zZYDWf","SocialFlow","bbcbrasil",""	
"2019-06-24","4:18:02","'Fui dormir na sexta e só acordei domingo': a desesperadora doença do super-sono https://t.co/zBb9iwEHOV #ArquivoBBC https://t.co/IAkxceZeZ4","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","4:13:02","Debbie Schmid sofre de alergia a frutas, legumes e verduras cruas, laticínios, soja, glúten, lactose, nozes e fruto… https://t.co/ndO5dbmqTz","SocialFlow","bbcbrasil",""	
"2019-06-24","4:05:24","#ArquivoBBC Um simples abraço pode elevar os níveis de oxitocina no corpo https://t.co/n36zeyoC0H","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","3:44:11","Como a Finlândia fabrica roupa com madeira usada https://t.co/9wNAUIN1lD #ArquivoBBC https://t.co/1Knn0nVA1b","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","3:22:13","#MaisLidas Autora de 'Monólogos da Vagina' fala sobre abusos pelo pai: 'Uma noite fingi que estava morta, e aí acab… https://t.co/wlzyco3sne","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","2:59:03","Como discussão sobre o celibato na Amazônia deve ampliar oposição ao papa Francisco	
 https://t.co/5Ii3FrJYve","SocialFlow","bbcbrasil",""	
"2019-06-24","2:40:06","Como identificar os alimentos que parecem saudáveis, mas não são https://t.co/gVhSJjfWTR","SocialFlow","bbcbrasil",""	
"2019-06-24","2:26:17","#MaisLidas Você sofre para se sentir bem nas primeiras horas da manhã? 💤 Técnicas simples podem ajudar a ajustar o… https://t.co/HfguyImJxf","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","1:41:05","E. Jean Carroll, a colunista americana que acusa Trump de tê-la estuprado na década de 1990 https://t.co/5RoG5KL0J0","SocialFlow","bbcbrasil",""	
"2019-06-24","1:16:52","#MaisLidas Escola dá troféu de 'mais irritante' a menino com autismo https://t.co/ILi0piHkJP https://t.co/IAYRQ2L9Zn","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-24","0:55:50","As 'fazendas de cadáveres' onde corpos se decompõem ao ar livre https://t.co/Ju0qAoSBB6 https://t.co/hMAGBASsbT","SocialFlow","bbcbrasil",""	
"2019-06-24","0:32:02","O mistério dos tênis Nike surgindo em praias da Europa e do Caribe https://t.co/6aWgpeexlC https://t.co/xVFdo9Mf7E","SocialFlow","bbcbrasil",""	
"2019-06-24","0:17:02","Qualquer cochilo de Lucy Taylor pode se transformar em mais de 24 horas seguidas de sono. Ela descreve como é sofre… https://t.co/WN6DVAcKYZ","SocialFlow","bbcbrasil",""	
"2019-06-24","0:14:06","Alergias alimentares: a vida de quem não pode comer ‘quase nada’ https://t.co/ktveJwkWJS #ArquivoBBC https://t.co/PsfBTHbl8m","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-24","0:10:02","Na foto 👇, a primeira-dama finlandesa, Jenni Haukio, posa com um vestido feito de bétula reciclada – no país, madei… https://t.co/EW4H5CZ8Xe","SocialFlow","bbcbrasil",""	
"2019-06-24","0:10:01","No Brasil, os professores passam 30% do tempo da aula dedicados a tarefas administrativas, como fazer chamada, ou d… https://t.co/bwRDE3JnHT","SocialFlow","bbcbrasil",""	
"2019-06-24","0:08:05","O alemão que explorou as entranhas do Brasil e 'batizou' nossa natureza https://t.co/Ci3MWUVSrj #ArquivoBBC https://t.co/lf1mWvRT5B","SocialFlow","bbcbrasil","ArquivoBBC"	
"2019-06-23","23:50:03","Tudo o que você precisa saber sobre as usinas nucleares de Angra 1 e 2, e por que são diferentes de Chernobyl https://t.co/kSlpM6Bkop","SocialFlow","bbcbrasil",""	
"2019-06-23","23:38:04","Brasileiro é mais tolerante à entrada de refugiados do que média internacional, mostra pesquisa… https://t.co/ZjvZZMNQty","SocialFlow","bbcbrasil",""	
"2019-06-23","23:17:04","#MaisLidas Como 'ensinar' seu corpo a acordar cedo, segundo cientistas https://t.co/7oivA4EXhI https://t.co/grW7EiAI9I","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-23","23:00:05","Japão tenta tirar idosos do volante após casos sucessivos de acidentes fatais https://t.co/h3GwqUe4nx https://t.co/hYSSjUGh8t","SocialFlow","bbcbrasil",""	
"2019-06-23","22:55:06","Pesquisa mostra que 97% dos brasileiros aprovam vacinação infantil, em meio a ameaça global de volta de doenças… https://t.co/cTNEJGELjU","SocialFlow","bbcbrasil",""	
"2019-06-23","22:45:07","Alice, o primeiro avião comercial totalmente elétrico https://t.co/7WjwLf3hIF","SocialFlow","bbcbrasil",""	
"2019-06-23","22:22:02","#MaisLidas Famosa por sua peça 'Monólogos da Vagina', Eve Ensler lança livro em que revela que sofreu abusos sexuai… https://t.co/0OqLBIXuwU","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-23","22:09:05","O que acontece quando a comida some das prateleiras https://t.co/XT57RsX4hU","SocialFlow","bbcbrasil",""	
"2019-06-23","22:08:06","#MaisLidas ""O que é irritante e humilhante foi ver meu filho ali, na frente de pessoas estranhas, recebendo o prêmi… https://t.co/Ry5NRDafhg","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-23","21:56:03","Por que o Brasil mudou para sempre após participação simbólica na 1ª Guerra Mundial https://t.co/nZOOKvfrYT","SocialFlow","bbcbrasil",""	
"2019-06-23","21:38:00","Como discussão sobre o celibato na Amazônia deve ampliar oposição ao papa Francisco https://t.co/2zRubKqsNW","SocialFlow","bbcbrasil",""	
"2019-06-23","21:35:04","Como identificar os alimentos que parecem saudáveis, mas não são https://t.co/lGQCG2BUrn","SocialFlow","bbcbrasil",""	
"2019-06-23","21:28:05","Desde o início da tarde deste domingo, a avenida Paulista, em São Paulo, está tomada por milhares de pessoas durant… https://t.co/p21yvcAcqT","SocialFlow","bbcbrasil",""	
"2019-06-23","21:15:19","#MaisLidas Roraima exporta 194 kg de ouro à Índia sem ter nenhuma mina operando legalmente https://t.co/YyUEpSmJOj https://t.co/22MMZolLPr","SocialFlow","bbcbrasil","MaisLidas"	
"2019-06-23","20:55:06","Cientista e mulher na Amazônia: o que contam pesquisadoras brasileiras que trabalham na região https://t.co/QlnhDT8MWj","SocialFlow","bbcbrasil",""	
"2019-06-23","20:51:36","Essas fazendas, onde os cadáveres são deixados ao ar livre por semanas ou meses, ajudam a solucionar crimes https://t.co/HT5GNV63jb","SocialFlow","bbcbrasil",""	
"2019-06-23","20:31:06","Das Bahamas à Irlanda, centenas de calçados sem dono apareceram em praias https://t.co/hv9TjKKQt0","SocialFlow","bbcbrasil",""	
