date,"hour","text","source","username","hashtags"	
2019-06-24,"17:15:00","Comissão de Anistia julgará 98 pedidos de indenização nesta semana, incluindo o de Dilma ==&gt	… https://t.co/FR4zoMbc0X","TweetDeck","G1",""
2019-06-24,"17:08:01","Ministério da Agricultura aprova registro de mais 42 agrotóxicos, totalizando 211 no ano https://t.co/fp3Wol8U0R #G1","TweetDeck","G1","G1"	
2019-06-24,"17:00:01","Você já foi se despedir da saga de Woody? https://t.co/yLJa7Hzrbo #G1","TweetDeck","G1","G1"	
2019-06-24,"16:52:33","RT @fatooufake: Livro é um dicionário alemão-inglês usado por artista plástica em experimento de cristalização https://t.co/OtMHQsasMx #Fat…","TweetDeck","G1",""	
2019-06-24,"16:45:00","Trump também anunciou que vai impor novas sanções contra Teerã, sem especificar quais https://t.co/3FJwue1y46 #G1","TweetDeck","G1","G1"	
2019-06-24,"16:30:00","Antes de morrer, ela afirmou que seu companheiro havia cometido o crime, segundo a polícia https://t.co/OMyf8jeX35 #G1","TweetDeck","G1","G1"	
2019-06-24,"16:23:08","Ex-governador Sérgio Cabral ficará em isolamento por 30 dias por instalação de 'videoteca' em presídio do Rio https://t.co/iqxE1JehXG #G1","TweetDeck","G1","G1"	
2019-06-24,"16:15:00","O idoso foi dado como desaparecido depois de sair de casa, em Goiânia, para receber uma dívida https://t.co/iDKEjiYSRp #G1","TweetDeck","G1","G1"	
2019-06-24,"16:00:02","O objetivo é aumentar o conhecimento sobre ele e seus ""efeitos dinâmicos no espaço"" ao seu redor https://t.co/D1DZXLoxkH #G1","TweetDeck","G1","G1"	
2019-06-24,"15:45:00","No dia 18 de junho, nove pessoas foram presas por envolvimento no suposto furto https://t.co/JwUC4Aqaf6 #G1","TweetDeck","G1","G1"	
2019-06-24,"15:30:00","Veja pontos positivos e negativos do evento https://t.co/D2vCBOgKyz #G1","TweetDeck","G1","G1"	
2019-06-24,"15:15:00","""Eu tive que aguentar muito, até que um dia eu decidi que eu não ia mais suportar"" https://t.co/SoKcBa4Aki #G1","TweetDeck","G1","G1"	
2019-06-24,"15:08:00","Responsável pela investigação tenta identificar se houve crime de crueldade contra animais ou descuido na guarda https://t.co/pdcDfyD5AM #G1","TweetDeck","G1","G1"	
2019-06-24,"15:00:01","""Ele é o pai dela, apesar de tudo o que aconteceu, ela o ama e esse contato vai sempre acontecer"" https://t.co/NP4OSy8oxK #G1","TweetDeck","G1","G1"	
2019-06-24,"14:45:00","Dados são do Ministério da Saúde https://t.co/hmFiwcBNJx #G1","TweetDeck","G1","G1"	
2019-06-24,"14:30:00","""A juíza me perguntou duas vezes, porque queria que eu tivesse certeza da responsabilidade que teria pela frente. N… https://t.co/EFddzsEqF3","TweetDeck","G1",""	
2019-06-24,"14:15:00","""Encontrar um meio-termo significa que ambos os lados têm que ceder e fazer concessões, não apenas um lado"" https://t.co/d4HPeQ7wfw #G1","TweetDeck","G1","G1"	
2019-06-24,"14:00:01","Qual é a sua bebida favorita? https://t.co/pTMDmvX8ls #G1","TweetDeck","G1","G1"	
2019-06-24,"13:59:12","RT @showdavida: Vídeo inédito mostra mágico indiano pedindo socorro antes de se afogar. Ilusionista indiano morreu afogado após saltar acor…","TweetDeck","G1",""	
2019-06-24,"13:45:00","A estrutura está em nível máximo de alerta desde março deste ano, segundo classificação da Agência Nacional de Mine… https://t.co/zsBEh7H2sd","TweetDeck","G1",""	
2019-06-24,"13:38:00","O pai de Luiza chegou a receber uma mensagem do número de telefone da jovem pedindo para que a família não se preoc… https://t.co/hKkKdzpUyw","TweetDeck","G1",""	
2019-06-24,"13:30:00","A última vez que Madonna ficou com o primeiro lugar da lista foi em 2012 com o álbum “MDNA” https://t.co/AQ7xuEX7Zx #G1","TweetDeck","G1","G1"	
2019-06-24,"13:15:00","A polícia acredita que ele se desequilibrou, caiu de uma altura de 3 metros e foi atingido na queda por um disparo… https://t.co/qcOvEZqxIP","TweetDeck","G1",""	
2019-06-24,"13:00:01","Desde 2013, o número de pessoas em toda a região que se identifica como ""não religiosa"" subiu de 8% para 13% https://t.co/6RaxyNVPha #G1","TweetDeck","G1","G1"	
2019-06-24,"12:52:00","A polícia paulista também divulgou fotos dos possíveis disfarces que o homem procurado pelos assassinatos possa uti… https://t.co/lqHJuLp2do","TweetDeck","G1",""	
2019-06-24,"12:45:00","Suspeito se apresentou à polícia, mas não foi preso porque não houve flagrante https://t.co/RQ65o8OfUA #G1","TweetDeck","G1","G1"	
2019-06-24,"12:30:00","""Pessoas desejando o meu mal, isso é complicado. Usando a religião para perpetuar preconceito, ser agressiva. É imp… https://t.co/b61NE7U1Fr","TweetDeck","G1",""	
2019-06-24,"12:15:00","Testemunhas dizem que condutor, que é cabo do Exército, estava alcoolizado https://t.co/nlq9ejlD3y #G1","TweetDeck","G1","G1"	
2019-06-24,"12:00:01","Imagina o susto! https://t.co/fEesxz4xQf #G1","TweetDeck","G1","G1"	
2019-06-24,"11:45:00","""O aumento do preço do bitcoin se deve principalmente ao renovado interesse global pelas criptomoedas e pela tecnol… https://t.co/2HSnPzzTsN","TweetDeck","G1",""	
2019-06-24,"11:30:00","Mulher foi baleada com seis tiros https://t.co/CFHB7DogMa #G1","TweetDeck","G1","G1"	
2019-06-24,"11:15:00","Mãe e bebê foram internados na maternidade e passam bem https://t.co/kN0HxonKs8 #G1","TweetDeck","G1","G1"	
2019-06-24,"11:00:00","O pedido de liberdade, apresentado em 2018, é um habeas corpus em que a defesa de Lula aponta a suspeição do ex-jui… https://t.co/RSq176OjKX","TweetDeck","G1",""	
2019-06-24,"10:45:00","Em declaração postada em uma rede social no último domingo (23), ela afirmou que não acredita na participação dos f… https://t.co/N7Y315YxRn","TweetDeck","G1",""	
2019-06-24,"10:30:00","Leia no blog da @AndreiaSadi: https://t.co/7sgNVwLChs #G1","TweetDeck","G1","G1"	
2019-06-24,"2:59:00","Temperaturas podem superar os 40°C na Espanha e na Alemanha https://t.co/MJjFtR3sHl #G1","TweetDeck","G1","G1"	
2019-06-24,"2:30:00","Foragido por homicídio, homem é preso após ser identificado em portal de reconhecimento facial no entorno da Arena… https://t.co/a4akHR4dTK","TweetDeck","G1",""	
2019-06-24,"2:00:00","Policial militar é morto quando prendia ladrão na Zona Sul de SP https://t.co/ehgfkNo9a9 #G1","TweetDeck","G1","G1"	
2019-06-24,"1:30:00","Festa de aniversário termina com morte e duas casas incendiadas em Bocaiúva do Sul, diz polícia https://t.co/IGkCmWGHkc #G1","TweetDeck","G1","G1"	
2019-06-24,"1:00:00","Filho que levou tiro ao discutir sobre dívida de R$ 2 milhões foge com bala alojada no peito, diz hospital em MS https://t.co/lXUfFZt3T1 #G1","TweetDeck","G1","G1"	
2019-06-24,"0:54:06","Luciano Huck sobre recuperação do filho Benício: 'Um passinho de cada vez' https://t.co/AwmxPU9lbW #G1","TweetDeck","G1","G1"	
2019-06-24,"0:30:00","Piscininha, amor? https://t.co/keEZtsyHFC #G1","TweetDeck","G1","G1"	
2019-06-24,"0:15:00","Ataque cibernético dos EUA desativou computadores militares do Irã, diz imprensa norte-americana https://t.co/TFdgmH2MMh #G1","TweetDeck","G1","G1"	
2019-06-24,"0:00:00","Categoria inclui barras de cereal, cereais matinais, sucos prontos, pães de forma integrais, peito de peru... https://t.co/JI0C6NBWg8 #G1","TweetDeck","G1","G1"	
2019-06-23,"23:30:00","'Confissões não são suficientes para condenar', diz Flordelis sobre participação de filhos na morte do marido https://t.co/7ZVCNwh1dg #G1","TweetDeck","G1","G1"	
2019-06-23,"23:12:00","Acidente deixa 4 mortos, sendo duas crianças, na Rodovia SP-342 em Águas da Prata https://t.co/xG0zH4BhK0 #G1","TweetDeck","G1","G1"	
2019-06-23,"23:00:00","Nossa sociedade moderna depende de cadeias de distribuição alimentar complexas e modernas. O que aconteceria se ela… https://t.co/HxfS5nSNxw","TweetDeck","G1",""	
2019-06-23,"22:30:00","Filho de Huck e Angélica passa por neurocirurgia após sofrer traumatismo	 estado de saúde é estável, diz hospital… https://t.co/TJmX9Ai8WN","TweetDeck","G1",""
2019-06-23,"22:17:42","Passageira relata que foi esquecida dentro de avião em Toronto, no Canadá https://t.co/D2WG2FWIH0 #G1","TweetDeck","G1","G1"	
2019-06-23,"22:00:00","Poste cai em cima de homem em Cabo Frio, no RJ https://t.co/h5NYF123Q3 #G1","TweetDeck","G1","G1"	
2019-06-23,"21:45:00","Homem é preso suspeito de matar dono de oficina de motos e filmar crime, em Rialma (GO) https://t.co/iiEMyTkQ1o #G1","TweetDeck","G1","G1"	
2019-06-23,"21:40:54","RT @globoesportecom: Brasil leva gol de Henry na prorrogação e acaba eliminado na Copa do Mundo Feminina https://t.co/m5kbPULJjt https://t.…","TweetDeck","G1",""	
2019-06-23,"21:30:00","Premiê é acusado de fraudar fundos da União Europeia e de nomear ministra da Justiça que dificultaria processo cont… https://t.co/iDSzi1n5e3","TweetDeck","G1",""	
2019-06-23,"20:59:00","Delegado mata cachorro com tiro na rua em São Luiz Gonzaga, RS: 'Iria atacar, não tinha o que fazer' https://t.co/EYHzRNKoXl #G1","TweetDeck","G1","G1"	
2019-06-23,"20:45:00","Polícia apreende 8 toneladas de maconha em estrada de Pernambuco	 é a maior apreensão da droga na história do estad… https://t.co/Oe9nu3cYZJ","TweetDeck","G1",""
2019-06-23,"20:30:00","Paulo Ricardo faz post em homenagem ao baterista Paulo P.A. Pagni, da banda RPM, que morreu neste sábado (22) https://t.co/qWPst9TLSe #G1","TweetDeck","G1","G1"	
2019-06-23,"20:15:00","Categoria inclui barras de cereal, cereais matinais, sucos prontos, pães de forma integrais, peito de peru... https://t.co/JI0C6NkkRy #G1","TweetDeck","G1","G1"	
2019-06-23,"20:00:00","Grupo de 61 atletas salta de paraquedas e bate recorde no interior de SP https://t.co/ORM4YzG2D4 #G1 https://t.co/09yslMS49u","TweetDeck","G1","G1"	
